"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.01259004588298","","","","","8.39490122439393","","","","","7.88926482057959","","","","","7.93277034984379","","","","7.70402343976957","","","","",
"Afghanistan","AFG","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00495","","","","","0.04774","","","","","0.022","","","","","0.01544","","","","0.02857","","","","",
"Africa Western and Central","AFW","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45203531222672","","","","","9.51486204016548","","","","","7.76781620482811","","","","","7.33383330136528","","","","7.03595068151294","","","","",
"Angola","AGO","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31654","","","","","10.65743","","","","","13.1898","","","","","12.30365","","","","9.82175","","","","",
"Albania","ALB","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.30242","","","","","8.66422","","","","","9.59663","","","","","8.24812","","","","8.3623","","","","",
"Andorra","AND","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.90693","","","","","18.40106","","","","","16.46448","","","","","16.54438","","","","16.941","","","","",
"Arab World","ARB","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6332520158679","","","","","0.65437164006933","","","","","0.706530222869018","","","","","0.673780040706902","","","","0.613339062686964","","","","",
"United Arab Emirates","ARE","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.29788","","","","","2.3011","","","","","2.47825","","","","","3.04376","","","","3.07588","","","","",
"Argentina","ARG","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.54887","","","","","9.67032","","","","","12.02459","","","","","13.38947","","","","12.56029","","","","",
"Armenia","ARM","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28179","","","","","8.18865","","","","","8.61699","","","","","8.59122","","","","8.6736","","","","",
"American Samoa","ASM","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83211","","","","","9.89791","","","","","9.52648","","","","","12.1978","","","","14.02491","","","","",
"Australia","AUS","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.37168","","","","","16.76339","","","","","17.14478","","","","","16.06836","","","","15.61773","","","","",
"Austria","AUT","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.53406","","","","","20.01465","","","","","19.36109","","","","","19.19822","","","","18.80739","","","","",
"Azerbaijan","AZE","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.83316","","","","","3.2402","","","","","3.22634","","","","","2.56645","","","","3.51457","","","","",
"Burundi","BDI","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.22066","","","","","10.43016","","","","","10.08692","","","","","6.89858","","","","6.81211","","","","",
"Belgium","BEL","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.09263","","","","","17.80402","","","","","17.89522","","","","","17.69386","","","","16.16159","","","","",
"Benin","BEN","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19922","","","","","3.97825","","","","","10.77576","","","","","13.13916","","","","13.51573","","","","",
"Burkina Faso","BFA","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","SH.ALC.PCAP.MA.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.42433","","","","","14.2765","","","","","13.77782","","","","","16.36172","","","","16.58949","","","","",
