alcohol,alcohol_m,alcohol_f,tobacco,tobacco_m,tobacco_f,diabetes,tuberculosis,mortality,mortality_m,mortality_f
11.71343,17.92427,5.52763,23.2,25.3,21.1,4.5,5.7,9.5,11.6,7.3
10.83775,17.66167,4.82148,34.6,39.4,29.7,6.6,18.0,24.5,33.5,16.4
8.71981,13.75757,3.86129,42.9,49.1,36.7,5.1,5.1,13.0,18.1,8.1
13.21968,21.00366,5.8123,31.4,35.8,26.9,5.3,5.4,14.9,19.8,10.2
11.40099,18.28931,5.23832,25.3,33.1,17.4,9.6,24.0,11.5,15.9,7.4
7.67835,12.29967,3.40767,23.8,27.9,19.6,5.1,6.6,9.8,12.4,7.3
11.46278,18.39543,5.09315,27.2,31.6,22.8,9.0,17.0,18.2,24.6,12.1
9.78872,15.27233,4.41575,32.3,37.9,26.7,4.2,7.1,9.8,11.3,8.4
13.09042,21.73064,5.99413,37.0,50.3,23.7,5.9,19.0,21.6,31.2,13.5
8.07439,12.28169,3.69603,12.0,11.9,12.0,3.2,3.8,8.7,10.2,7.0
9.43487,14.84425,4.26953,24.5,30.9,18.0,5.8,5.6,10.6,14.0,7.3
6.90897,10.82393,3.08387,28.6,33.3,23.9,6.6,8.0,11.8,14.8,8.8
10.31864,16.46993,4.57514,31.5,38.6,24.3,5.7,6.5,17.5,24.1,11.5
7.96607,12.71871,3.53716,23.1,26.6,19.5,6.4,4.6,9.0,11.3,6.8
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,10.0,13.3,17.6,9.0
11.7853,19.33714,5.39399,32.0,42.1,21.8,5.8,30.0,19.3,28.4,11.7
11.7039,18.05577,5.57809,20.8,22.5,19.0,3.0,4.5,9.7,11.2,8.1
12.14919,19.13814,5.45153,24.9,27.5,22.3,5.3,7.6,12.6,15.9,9.2
9.94182,15.72154,4.45515,29.7,32.0,27.3,6.3,12.0,10.2,13.9,6.6
11.5288,17.59996,5.44147,21.1,22.4,19.8,5.9,8.3,9.7,12.0,7.4
11.3319,17.89522,5.12689,28.0,31.8,24.1,4.8,9.5,12.2,15.3,9.1
13.28805,21.09174,5.83671,30.7,35.0,26.4,5.3,3.9,14.3,18.8,9.8
10.95399,17.23442,5.00985,24.1,25.9,22.2,5.2,12.0,11.3,13.4,9.2
12.19174,19.19822,5.5633,31.2,33.1,29.3,6.6,7.3,10.8,13.7,8.0
11.2362,17.69386,5.08809,25.7,28.8,22.5,4.8,9.5,11.5,14.2,8.8
9.3835,14.67182,4.2488,24.6,26.9,22.2,5.3,5.7,11.2,12.7,9.7
10.44538,16.89192,4.80883,25.4,30.5,20.2,9.1,16.0,11.0,15.4,7.0
10.53851,17.01867,4.83714,25.2,31.7,18.7,9.6,23.0,11.5,16.0,7.3
15.05872,24.66382,6.88918,33.3,41.8,24.7,7.0,16.0,17.2,25.2,10.6
7.11519,11.33929,3.11558,34.5,37.7,31.2,5.1,4.7,12.5,17.2,8.0
7.71665,11.9299,3.43633,26.3,29.8,22.8,6.6,12.0,10.6,13.1,8.1
9.78872,15.27233,4.41575,32.3,37.9,26.7,6.6,7.5,10.4,12.1,8.6
