sex,alcohol,tobacco,pm25,water,sanitation,diabetes,tuberculosis,mortality
0,15.27233,37.9,6.171492562,99.590306408198,95.320453235042,4.2,7.3,11.3
1,5.83671,26.4,16.75140093,97.8824671997283,89.0261433543038,5.3,3.9,9.8
0,18.10182,35.7,24.60328947,92.6569862717907,94.1929609983275,9.0,21.0,27.5
1,4.65149,21.0,12.6724532,99.739449377802,94.897006164683,3.6,7.8,8.2
1,5.57809,19.7,7.854094218,95.7019191120114,79.4034137729106,5.2,5.8,8.1
1,4.62202,25.0,12.18576243,99.9773412392903,97.4800095282539,5.3,5.5,9.6
1,5.23832,17.4,10.58600078,94.2445698993101,72.0326962854227,9.6,27.0,8.0
1,5.34309,24.4,12.896183,95.4013064901174,79.9576368074314,7.8,37.0,13.6
1,3.38644,25.8,8.099763965,99.4745399725474,77.1801797973548,6.6,6.9,9.1
0,16.73585,37.4,18.36521464,99.1135332662023,82.4882232450732,5.7,3.2,21.0
0,18.72897,35.3,11.53704439,99.2425569011291,89.3730226429661,5.4,9.0,14.2
0,11.33929,36.5,14.2538714,98.879641286099,92.1603580656102,6.4,2.2,17.2
0,17.72336,30.5,12.71146517,96.7000004487987,98.8965065111574,5.9,6.0,11.6
1,4.96777,20.4,16.52950459,95.865534457588,80.9741144735462,7.5,6.5,8.2
0,11.33929,36.5,14.2538714,98.879641286099,92.1603580656102,6.4,2.2,17.2
0,12.28169,11.9,5.698616135,100.0,79.0230000842319,3.2,3.8,10.2
0,18.67462,28.6,22.6420051,90.3359777043778,97.7477581763422,9.0,15.0,22.8
0,11.48784,19.9,6.091801055,97.1131695835632,78.9811344921807,3.2,3.9,10.6
1,4.67622,28.0,16.49434933,97.629550657545,87.7511025274976,6.0,6.2,15.2
1,4.93842,14.2,10.09284402,99.8405271741814,98.0763514005507,5.2,8.1,8.5
0,13.03324,26.4,12.9910498,99.7724155281172,88.1763623150836,8.0,13.0,12.9
0,19.55246,36.7,13.61154039,98.5895541002839,88.9977880462683,5.4,9.0,15.2
0,14.2644,53.2,16.29507954,98.4436533593412,76.4708626270286,9.3,4.0,12.9
0,17.22221,36.4,16.49434933,97.629550657545,87.7511025274976,6.0,6.2,29.8
1,4.3703,20.3,9.286433949,99.1813090439104,97.6887725645573,5.6,5.9,9.9
1,3.69603,12.0,5.698616135,100.0,79.0270957158613,5.5,2.2,7.0
0,11.51969,27.6,9.050737279,99.4202515821044,77.2505303287769,4.7,7.4,12.8
0,19.22118,24.6,11.80580716,99.9093444594773,96.8705960796567,5.3,6.1,15.2
1,4.91056,23.1,10.60281759,96.7000022331398,99.3508146061221,5.9,7.9,6.6
0,12.28169,11.9,5.698616135,100.0,79.0312466274538,5.5,4.9,10.2
1,5.83671,26.5,16.75140093,97.8820483219257,88.6948781559602,5.3,5.0,9.8
0,17.69386,27.1,12.76304285,99.7061859928,91.4916708886207,4.8,9.2,13.3
0,16.6779,29.3,9.854778198,96.7000001340801,99.468272513732,5.9,7.2,10.3
0,15.72154,32.0,9.749324875,99.5531187860868,90.100172574761,6.3,11.0,13.6
0,13.75757,49.1,17.37070897,99.296445502863,85.5140737708146,5.1,5.4,19.0
0,18.03671,34.9,11.40575038,99.5097812620216,89.5200694726426,5.4,8.3,14.0
1,4.13998,16.3,5.565330197,99.6399023078221,89.8499364694327,6.1,3.5,6.8
1,5.83671,26.4,16.75140093,97.8829255452435,89.3582260011933,7.1,3.9,9.8
0,18.36997,25.0,16.52950459,95.865534457588,80.9741144735462,7.5,6.5,16.0
1,5.49089,19.9,11.80580716,99.9164119020981,96.8898488990896,6.9,5.1,9.0
0,19.22118,24.1,11.80580716,99.9164119020981,96.8898488990896,6.9,5.1,15.2
0,17.89522,31.8,16.88463686,99.6396646771355,78.3624157801263,11.7,11.0,16.3
1,3.09035,15.4,6.642383374,98.877395807563,77.9916622383446,3.6,3.0,7.4
1,4.28697,17.1,9.785959755,99.9188291924832,98.8018289360977,5.3,4.0,9.0
0,17.25542,28.6,9.728788477,99.5671426373018,89.9654142909252,10.3,6.9,12.8
0,18.24929,55.1,15.79757359,93.9967354602132,73.8673807337096,7.8,48.0,36.3
0,18.03671,34.9,11.40575038,99.7041454123987,89.6653814027227,5.3,7.2,14.0
0,21.09174,35.0,16.75140093,97.8834116268806,89.6911294519732,7.1,4.2,18.8
1,5.52763,20.3,10.13585944,99.5046038462513,94.4853982469945,4.5,7.9,7.4
1,5.14287,31.9,11.40575038,99.3757379814726,89.4467659719233,5.4,9.1,7.3
0,19.65862,31.4,16.08934354,99.8815299716736,96.4025187698954,6.6,5.5,16.7
1,3.21568,19.6,17.10725238,94.5081548552369,78.9886424710089,5.1,6.4,7.3
0,19.36109,39.7,14.50183038,98.9126418574916,99.6659101526885,6.6,8.5,15.2
1,4.22639,19.9,12.0392862,99.9690762981639,97.4976241571711,4.5,4.4,9.1
0,23.12288,49.5,12.99478901,84.4250051337723,85.5169254322896,7.8,65.0,35.0
1,4.91056,23.0,10.15005926,96.7000009316441,99.5841324682715,5.9,6.4,6.3
0,18.39643,36.3,5.893562381,97.0193826204319,90.4208196673259,6.5,11.0,22.1
0,14.41696,29.8,5.647572855,99.7384457673194,95.5452195622188,5.0,3.8,9.6
1,5.57179,25.1,13.8086903,99.8877153712737,96.5266492352619,5.3,5.4,9.2
1,5.57008,30.9,15.07698542,98.2078497789465,88.8473028798847,6.6,9.3,7.8
0,18.72897,35.9,12.30792454,98.8481980323575,89.14918952705,5.4,8.5,14.7
0,12.05698,15.4,5.709265082,99.2539561704075,79.0110604604242,3.2,4.4,10.0
0,21.09174,35.0,16.75140093,97.8824671997283,89.0261433543038,5.3,3.9,18.8
1,4.25363,22.1,5.693011634,99.6711408523835,95.4365069232678,4.2,5.6,7.6
1,5.12246,25.1,15.55702788,94.5574940718317,76.14851511961,7.8,49.0,14.5
0,17.70949,25.7,18.4258514,93.8254037652948,73.0735095449517,7.5,7.7,17.3
1,4.22639,19.9,12.0392862,99.9678911890245,97.497720549587,4.5,4.1,9.1
1,5.08809,22.5,12.37628991,99.6895596365475,88.1388587338027,4.8,10.0,8.4
1,6.59685,23.2,14.70448134,82.4966707796791,84.4611650366522,6.6,64.0,14.2
0,12.69752,47.0,15.57380293,99.7650627352206,76.8445151082956,8.6,8.3,10.7
0,10.54198,21.6,6.594523915,99.1488222801754,77.612140996673,4.7,6.1,11.0
0,17.72336,30.5,13.15189172,96.6999977062919,98.714353917625,11.7,7.5,12.2
0,18.72897,35.9,11.4918237,98.9787900317185,89.2242334322953,5.4,8.8,14.5
0,16.80512,40.3,20.33063119,98.8287238347395,82.904732208453,5.7,6.8,26.0
0,18.87609,28.1,10.06939194,94.9311985490192,71.1019342701805,5.2,9.8,14.1
1,6.59207,26.4,7.749831914,95.5039328797556,90.5399088654507,7.0,25.0,11.3
0,15.72154,30.0,9.769206907,99.5558738834628,90.0555401861417,6.3,11.0,13.1
1,3.78689,21.6,12.9910498,99.7900477360276,88.1763822133568,8.0,12.0,8.2
1,4.80292,17.4,10.37250919,99.8890378286415,98.0211602039154,5.2,10.0,9.3
0,18.80739,27.7,12.16821803,98.8963233865813,99.6719798816291,4.6,4.4,12.9
1,3.53716,19.6,16.08828133,93.2241567870465,79.0189612379409,5.1,6.1,6.8
1,4.81498,21.3,18.59905794,93.145360201197,70.0820894713963,7.5,7.4,9.3
0,13.75757,49.1,19.06202926,99.3574498936831,84.1250733887468,6.6,4.6,18.2
1,4.82148,29.7,20.010989,87.0110028688324,74.7492261818032,6.6,18.0,16.4
0,19.29576,52.5,12.896183,95.4013064901174,79.9576368074314,7.8,37.0,32.1
0,12.69752,47.0,15.57380293,99.7650627352206,76.8445151082956,8.6,8.3,10.7
0,16.19171,28.1,9.902709701,96.7000018583182,99.8152400004339,4.6,4.6,9.6
1,4.65149,21.0,12.6724532,99.7311343274755,94.4776661201223,3.6,8.1,8.2
1,3.40767,19.6,16.26524128,93.4809564006846,79.0149871785913,5.1,7.3,6.9
1,4.81498,21.3,20.9420236,92.4653166370993,67.1524981301922,7.5,10.0,9.0
0,16.73585,37.6,18.36521464,99.0779266373617,82.4912747148957,5.7,4.5,21.0
0,10.54198,18.8,6.695799295,99.0402463525688,77.7617837400727,4.7,4.1,10.3
0,14.91805,35.8,12.44203689,99.6093275292351,90.3287781855282,6.3,16.0,15.1
1,5.34309,23.8,12.208934,95.9692852409253,82.4505578384451,7.8,28.0,14.1
1,4.83714,18.7,8.478894344,94.78596065421,88.1767399752561,9.6,20.0,7.3
1,5.39399,21.8,10.37350411,94.9517503729689,94.7933409114805,5.8,26.0,11.7
0,23.12288,49.5,13.0277502,88.3536205960304,87.7085335992691,7.8,60.0,32.8
1,6.59685,23.2,12.99478901,84.4250051337723,85.5169254322896,7.8,65.0,14.2
1,5.83671,26.4,16.75140093,97.8834116268806,89.6911294519732,7.1,4.2,9.8
0,12.28169,11.9,5.698616135,100.0,79.0312466274538,5.5,4.9,10.2
0,11.48784,19.9,6.595638323,95.5075787474431,78.9616546509494,6.6,7.9,11.7
0,18.80739,28.6,12.16821803,98.9026191314884,99.6668596059336,6.6,6.0,12.9
1,5.05029,25.9,24.60328947,92.6569862717907,94.1929609983275,9.0,21.0,13.2
0,16.95108,17.3,10.09284402,99.8284052845126,98.089859013307,5.2,7.0,12.1
1,4.76811,22.9,9.902709701,96.7000018583182,99.8152400004339,4.6,4.6,6.1
1,5.1958,23.3,12.71146517,96.7000004487987,98.8965065111574,5.9,6.0,7.2
0,11.9299,29.8,12.8402408,99.8782191179984,88.1764924879847,6.6,12.0,13.1
1,3.62324,14.9,5.833587216,98.1835638232079,78.9961445180465,3.2,2.4,7.9
0,14.99871,21.9,10.28076623,99.5782174188815,98.0343316330664,5.6,5.1,13.1
1,6.59685,23.2,13.0260807,86.3826378165953,86.6058643089609,7.8,61.0,13.6
1,4.91652,26.7,9.728788477,99.5671426373018,89.9654142909252,10.3,6.9,6.5
1,3.62324,14.9,5.436588878,98.7187606903306,79.003610453891,3.2,2.1,7.5
1,3.21568,19.6,21.4270346,95.2049972687988,78.9668124098955,5.1,6.6,7.7
1,4.72085,28.0,16.63089611,96.1433838528522,87.722205546279,6.0,7.1,15.7
1,3.21568,19.6,18.84991698,94.9728486329659,78.9736085066512,5.1,5.9,7.7
1,4.61404,25.6,18.36521464,99.1135332662023,82.4882232450732,5.7,3.2,10.4
0,17.33298,24.7,16.96940443,97.9056651498814,83.4594663975543,7.5,5.3,14.8
0,16.24359,26.8,11.03144858,98.3875001402106,96.9905835667988,5.6,6.0,14.3
0,18.24929,55.1,15.24810165,94.2770127926483,75.0039792874543,7.8,54.0,35.1
0,10.54198,21.6,7.00932544,99.2031105190304,77.5383966675176,4.7,6.3,11.2
1,5.49089,19.9,11.80580716,99.9160427536765,96.8824891248943,6.9,5.0,9.0
0,18.39643,36.3,5.893562381,97.0193826204319,90.4208196673259,6.5,11.0,22.1
1,5.71392,22.5,12.84812551,99.8221897114305,92.4912828948857,4.5,5.5,8.6
0,16.89192,30.5,8.254802244,95.1567339921988,92.7560834206961,9.1,16.0,15.4
0,16.19171,28.3,9.902709701,96.6999987666662,99.6998094734838,5.9,5.4,9.6
0,11.51969,27.6,8.099763965,99.4745399725474,77.1801797973548,6.6,6.9,13.4
1,4.57514,24.3,17.8694289,98.9711298194259,82.5151029139219,5.7,5.9,11.2
0,12.69752,47.0,15.57380293,99.7651721581168,76.8191579489765,9.3,3.2,10.7
0,21.1529,37.3,20.7873617,97.513336972409,86.0837072030318,5.3,6.2,23.3
0,11.48784,19.9,6.191914657,96.5779714701861,78.9736085066512,3.2,3.6,11.0
0,14.2644,53.2,16.41203304,98.7032591582429,76.5273224846116,9.3,3.8,13.4
1,5.74515,26.1,10.06939194,94.9311985490192,71.1019342701805,5.2,9.8,9.6
1,3.98594,22.2,16.81350235,98.1839966639997,76.4203317482236,9.3,6.3,6.9
1,4.68963,19.6,16.96940443,98.2743209096652,83.8301013413023,5.8,4.3,8.0
1,5.39399,21.8,10.37350411,94.8974874451152,93.7552925661227,7.8,41.0,11.7
0,17.70949,25.7,19.19737442,91.7852730730014,64.2842786343284,6.6,9.4,18.0
1,4.22639,19.9,12.0392862,99.9702576817895,97.4975170916761,5.3,4.1,9.1
0,15.96408,30.0,12.72082828,99.9785206663731,97.4765938047399,5.3,5.7,13.3
